timeId,name,keywordId,count
91,heminredning,1,4658
0,keramik,1,463
31,keramik,1,499
43,keramik,1,1750
60,keramik,1,380
68,keramik,1,327
70,keramik,1,1
76,keramik,1,1
78,keramik,1,2
79,keramik,1,26
80,keramik,1,8
81,keramik,1,102
82,keramik,1,228
83,keramik,1,307
84,keramik,1,405
85,keramik,1,190
86,keramik,1,380
87,keramik,1,85
88,keramik,1,76
89,keramik,1,409
90,keramik,1,7115
91,keramik,1,8665
60,träd,1,1
63,träd,1,1
64,träd,1,1
66,träd,1,1
74,träd,1,7
75,träd,1,2
76,träd,1,3
78,träd,1,11
79,träd,1,143
80,träd,1,421
81,träd,1,519
82,träd,1,699
83,träd,1,812
84,träd,1,952
85,träd,1,2532
86,träd,1,2410
87,träd,1,1315
88,träd,1,2342
89,träd,1,4325
90,träd,1,755
91,träd,1,7149
79,ekonomibyggnad,1,17
80,ekonomibyggnad,1,84
81,ekonomibyggnad,1,146
82,ekonomibyggnad,1,386
83,ekonomibyggnad,1,361
84,ekonomibyggnad,1,191
85,ekonomibyggnad,1,300
86,ekonomibyggnad,1,304
87,ekonomibyggnad,1,3337
88,ekonomibyggnad,1,3773
89,ekonomibyggnad,1,753
90,ekonomibyggnad,1,829
91,ekonomibyggnad,1,2237
0,brons,1,347
31,brons,1,1174
33,brons,1,1
43,brons,1,3008
60,brons,1,528
68,brons,1,250
79,brons,1,14
80,brons,1,1
82,brons,1,5
83,brons,1,2
85,brons,1,2
86,brons,1,30
87,brons,1,15
88,brons,1,1
89,brons,1,553
90,brons,1,8708
91,brons,1,7237
58,amerika,1,1
71,amerika,1,1
78,amerika,1,3
79,amerika,1,103
80,amerika,1,548
81,amerika,1,166
82,amerika,1,763
83,amerika,1,3111
84,amerika,1,425
85,amerika,1,1119
86,amerika,1,538
87,amerika,1,157
88,amerika,1,85
89,amerika,1,75
90,amerika,1,349
91,amerika,1,1168
76,utställning,1,2
77,utställning,1,1
78,utställning,1,14
79,utställning,1,189
80,utställning,1,182
81,utställning,1,254
82,utställning,1,505
83,utställning,1,783
84,utställning,1,2229
85,utställning,1,1108
86,utställning,1,1168
87,utställning,1,507
88,utställning,1,773
89,utställning,1,2408
90,utställning,1,1366
91,utställning,1,5277
49,bebyggelse,1,2
71,bebyggelse,1,21
72,bebyggelse,1,3
73,bebyggelse,1,2
74,bebyggelse,1,2
75,bebyggelse,1,11
76,bebyggelse,1,13
77,bebyggelse,1,4
78,bebyggelse,1,24
79,bebyggelse,1,172
80,bebyggelse,1,137
81,bebyggelse,1,350
82,bebyggelse,1,2901
83,bebyggelse,1,1305
84,bebyggelse,1,1121
85,bebyggelse,1,1534
86,bebyggelse,1,768
87,bebyggelse,1,521
88,bebyggelse,1,388
89,bebyggelse,1,1773
90,bebyggelse,1,153
91,bebyggelse,1,4248
68,trofé,1,2
70,trofé,1,31
71,trofé,1,2121
72,trofé,1,466
73,trofé,1,32
74,trofé,1,3
75,trofé,1,16
76,trofé,1,22
79,trofé,1,112
80,trofé,1,810
81,trofé,1,63
82,trofé,1,1
83,trofé,1,24
84,trofé,1,5
85,trofé,1,5
86,trofé,1,7
88,trofé,1,1
89,trofé,1,3
90,trofé,1,3414
91,trofé,1,2055
71,bostäder,1,1
72,bostäder,1,1
75,bostäder,1,1
76,bostäder,1,7
77,bostäder,1,3
78,bostäder,1,43
79,bostäder,1,123
80,bostäder,1,422
81,bostäder,1,430
82,bostäder,1,839
83,bostäder,1,644
84,bostäder,1,5323
85,bostäder,1,447
86,bostäder,1,532
87,bostäder,1,1050
88,bostäder,1,2124
89,bostäder,1,707
90,bostäder,1,142
91,bostäder,1,5942
2,båt,1,1
8,båt,1,1
31,båt,1,1
43,båt,1,12
60,båt,1,6
70,båt,1,1
71,båt,1,2
73,båt,1,4
74,båt,1,4
75,båt,1,14
76,båt,1,19
77,båt,1,18
78,båt,1,74
79,båt,1,341
80,båt,1,518
81,båt,1,430
82,båt,1,921
83,båt,1,1672
84,båt,1,1068
85,båt,1,2430
86,båt,1,1366
87,båt,1,724
88,båt,1,605
89,båt,1,3009
90,båt,1,327
91,båt,1,5100
70,ungdom,1,1
72,ungdom,1,1
73,ungdom,1,2
74,ungdom,1,1
75,ungdom,1,6
76,ungdom,1,9
77,ungdom,1,9
78,ungdom,1,26
79,ungdom,1,114
80,ungdom,1,157
81,ungdom,1,962
82,ungdom,1,821
83,ungdom,1,653
84,ungdom,1,1121
85,ungdom,1,1112
86,ungdom,1,1910
87,ungdom,1,760
88,ungdom,1,260
89,ungdom,1,1767
90,ungdom,1,239
91,ungdom,1,2466
80,erland nordenskiöld,1,7386
81,erland nordenskiöld,1,9261
82,erland nordenskiöld,1,43
83,erland nordenskiöld,1,24
84,erland nordenskiöld,1,24
85,erland nordenskiöld,1,2
86,erland nordenskiöld,1,50
90,erland nordenskiöld,1,1
